bimo0001005958,Novelas aristocráticas,,,
bimo0001005959,El origen del pensamiento La especie inicial y su bifurcación y ramificación,,,
bimo0001005962,El Pasado Novela,,,
bimo0001005974,La Procesión del Santo Entierro Novela,,,
bimo0001005980,El secreto de la vida y de la muerte Exploraciones,,,
bimo0001005988,"Transformación social : (sus antecedentes, oscilaciones, plenario y la reconstrucción social)",,,
bimo0001005989,"La trayectoria de las revoluciones Ensayos del ayer, el hoy y el mañana español",,,
bimo0001005993,La zarpa de la Esfinge Novela,,,
bimo0001007308,Cristo en el Vaticano,,,
bimo0001008682,Madrid dramático : colección de leyendas de los siglos XVI y XVII,,,
bimo0001008686,Los percances de Machuca : comedia en cuatro actos y en verso,,,
bimo0001010054,La educación militar,,,
bimo0001010065,"La plaza de Gibraltar : conferencia dada en el Centro del Ejército y de la Armada, el 18 de febrero de 1888",,,
bimo0001010067,La unidad de doctrina en el Ejército : conferencia pronunciada en la noche del martes 25 de octubre de 1904,,,
bimo0001010068,"Violación supuesta : defensa de un capitán acusado de tal delito, leída ante el Consejo de Guerra de Oficiales Generales",,,
bimo0001014500,Columna volante : (primera ración de artículos),,,
bimo0001039474,"¡Al agua, patos! : pasillo cómico-lírico-marítimo en un acto y dos cuadros",,,
bimo0001039501,El carnaval del amor : estravagancia cómico-lírica en un acto y en verso,,,
bimo0001039543,¡Guerra á las mujeres! : Juguete cómico en un acto y en prosa,,,
bimo0001039561,Mazapán de Toledo : apropósito en un acto y en prosa,,,
bimo0001039562,Medium oyente : juguete cómico-lírico en un acto y en verso,,,
bimo0001039587,"Un punto filipino : juguete cómico-lírico en un acto, en prosa y verso",,,
bimo0001047891,Civilización de los antiguos pueblos mexicanos disertación histórica leída por su autora en el Ateneo de Madrid en la noche del 17 de Junio de 1890,,,
bimo0001047898,La mujer intelectual,,,
bimo0001047901,Mujeres de la Revolución francesa : disertación leída por su autora en el Ateneo de Madrid en la noche del 25 de marzo de 1891,,,
bimo0001047903,El problema feminista : conferencia de Concepción Gimeno de Flaquer en el Ateneo de Madrid,,,
bimo0001047904,Victorina o Heroísmo del corazón : novela original,,,
bimo0001197153,Labor de confraternidad,,,
bimo0001197161,Con motivo de la inauguración oficial de la Casa de España,,,
bimo0001226023,"Lecturas literarias : libro de ejemplos para los alumnos de preceptiva literaria, explicado en el Instituto de San Isidro de esta corte",,,
bimo0001226397,Estudios financieros la verdad de un presupuesto 1893-1894,,,
bimo0001226816,"Compendio de la vida de San Alfonso María de Ligorio, obispo, doctor de la Iglesia y fundador de la Congregación del Santísimo Redentor",,,
bimo0001238016,"Místicas, 1892-1895",,,
bimo0001246732,El barbero de Sevilla,,,
bimo0001246752,La traición del granadero (1815-1818),,,
bimo0001253854,Viajes por Europa : obra ilustrada con 250 grabados,,,
bimo0001261445,Cartucherita novela andaluza,,,
bimo0001263954,El paño pardo : crónica de un villorrio en 1890,,,
bimo0001264041,Apuntes de historia de la civilización de los judíos y musulmanes conforme al programa de esta asignatura y tomados de las explicaciones del catedrático Juan Ortega Rubio,,,
bimo0001264270,La Inquisición : obra publicada por vez primera en El Siglo Futuro,,,
bimo0001270426,Acontecimientos literarios impresiones y notas bibliográficas : 1895,,,
bimo0001270440,Versos para escuelas,,,
bimo0001271602,Geografía para niños demostrada y adornada con 8 mapas y 50 viñetas,,,
bimo0001271608,Geografía para niños demostrada y adornada con 8 mapas y 66 viñetas,,,
bimo0000623453,La educación,,,
bimo0000623456,La educación contemporánea,,,
bimo0000664786,La libertad condicional el indulto y la amnistía con un apéndice relativo a la condena condicional,,,
bimo0000681322,Discurso pronunciado por el Excmo. Señor D. Antonio Cánovas del Castillo el día 6 de noviembre de 1882 en el Ateneo Científico y Literario de Madrid con motivo de la apertura de sus cátedras,,,
bimo0000751040,Medicina legal extracto de las asignaturas que tienen que estudiar los cirujanos que aspiran al título de facultativos habilitados,,,
bimo0000780666,Historia de Talavera la Real villa de la provincia de Badajoz,,,
bimo0000532270,Madrid en la mano o El amigo del forastero en Madrid y sus cercanías,,,
bimo0001901010,La tramontana : novela original,,,
bimo0000858953,La cocina española antigua,,,
bimo0000865740,La herejía liberal,,,
bimo0000884777,"Las subsistencias : carnes y demás alimentos, sustitutivos de consumos e impuestos municipales, la salud en Madrid",,,
bimo0000900032,"La Patria Española : su formación y constitución de su suelo, ...",,,
bimo0000900537,La mujer sensata : (educación de sí misma) : consejos útiles para la mujer y leyendas morales,,,
bimo0000906505,"La cooperación estudio teórico y práctico sobre las sociedades cooperativas de consumo y producción en Inglaterra y otros países, y especialmente en Cataluña",,,
bimo0001200715,"La calle de San Fernando y la Fábrica de Tabacos : cartas al exmo. sr. D. Federico de Amores, Conde de Urbina",,,
bimo0001200716,La Cancion de Chantecler : bagatela cómico-lirica en prosa,,,
bimo0001200729,Estafeta literaria,,,
bimo0001200736,Mis últimos versos : velut umbra,,,
bimo0001200740,Noches de luna : poesias,,,
bimo0001200741,Nuevos nombres de calles sevillanas,,,
bimo0001200744,Poesías,,,
bimo0001200745,"De re literaria : anécdotas, críticas, artículos, etc.",,,
bimo0001200748,Pequeños poemas,,,
bimo0001200753,Sevilla,,,
bimo0001200755,Tiquis miquis : al licenciado don José Gestoso y Pérez : carta en la cual se trata de mas de doscientos personajes proverbiales,,,
bimo0001201629,"Muerte y sepelio de Fernando el ""Santo""",,,
